Captions,Label,Cleaned_Captions
"Somewhr someone is surely made 4 u. And God has decided a perfect time to make u meet dat person. . . . till den, . . . . . Enjoy ur crushes..!!!;-)
",0,somewhr someone surely made u god decided perfect time make u meet dat person till den enjoy ur crush
"That's my honeymoon outfit. :)
",0,thats honeymoon outfit
"Will it help if we propose going back again tomorrow
",0,help propose going back tomorrow
"PRIVATE! Your 2003 Account Statement for shows 800 un-redeemed S. I. M. points. Call 08719899230 Identifier Code: 41685 Expires 07/11/04
",1,private account statement show unredeemed point call identifier code expires
"Never blame a day in ur life. Good days give u happiness. Bad days give u experience. Both are essential in life! All are Gods blessings! good morning.:
",0,never blame day ur life good day give u happiness bad day give u experience essential life god blessing good morning
"Pls confirm the time to collect the cheque.
",0,pls confirm time collect cheque
"As a Registered Subscriber yr draw 4 a £100 gift voucher will b entered on receipt of a correct ans. When are the next olympics. Txt ans to 80062
",1,registered subscriber yr draw gift voucher b entered receipt correct an next olympics txt an
"URGENT! Your Mobile number has been awarded with a £2000 prize GUARANTEED. Call 09061790121 from land line. Claim 3030. Valid 12hrs only 150ppm
",1,urgent mobile number awarded prize guaranteed call land line claim valid hr ppm
"Daddy will take good care of you :)
",0,daddy take good care
"Yeah probably, I still gotta check out with leo
",0,yeah probably still got ta check leo
"K.then any other special?
",0,kthen special
"Carlos is taking his sweet time as usual so let me know when you and patty are done/want to smoke and I'll tell him to haul ass
",0,carlos taking sweet time usual let know patty donewant smoke ill tell haul as
"Ok pa. Nothing problem:-)
",0,ok pa nothing problem
"Have you heard about that job? I'm going to that wildlife talk again tonight if u want2come. Its that2worzels and a wizzle or whatever it is?! 
",0,heard job im going wildlife talk tonight u wantcome thatworzels wizzle whatever
"God picked up a flower and dippeditinaDEW, lovingly touched itwhichturnedinto u, and the he gifted tomeandsaid,THIS FRIEND IS 4U
",0,god picked flower dippeditinadew lovingly touched itwhichturnedinto u gifted tomeandsaidthis friend u
"When you came to hostel.
",0,came hostel
"Ok no prob... I'll come after lunch then...
",0,ok prob ill come lunch
"Jus telling u dat i'll b leaving 4 shanghai on 21st instead so we'll haf more time 2 meet up cya...
",0,jus telling u dat ill b leaving shanghai st instead well haf time meet cya
"Are your freezing ? Are you home yet ? Will you remember to kiss your mom in the morning? Do you love me ? Do you think of me ? Are you missing me yet ?
",0,freezing home yet remember kiss mom morning love think missing yet
"You all ready for * big day tomorrow?
",0,ready big day tomorrow
"I'll probably be around mu a lot
",0,ill probably around mu lot
"645
",0,
"RT-KIng Pro Video Club>> Need help? info@ringtoneking.co.uk or call 08701237397 You must be 16+ Club credits redeemable at www.ringtoneking.co.uk! Enjoy!
",1,rtking pro video club need help inforingtonekingcouk call must club credit redeemable enjoy
"Thnx dude. u guys out 2nite?
",0,thnx dude u guy nite
"Me sef dey laugh you. Meanwhile how's my darling anjie!
",0,sef dey laugh meanwhile hows darling anjie
"Mm i had my food da from out
",0,mm food da
"K, makes sense, btw carlos is being difficult so you guys are gonna smoke while I go pick up the second batch and get gas
",0,k make sense btw carlos difficult guy gon na smoke go pick second batch get gas
"Did u download the fring app?
",0,u download fring app
"The 2 oz guy is being kinda flaky but one friend is interested in picking up $ &lt;#&gt;  worth tonight if possible
",0,oz guy kinda flaky one friend interested picking ltgt worth tonight possible
"Friends that u can stay on fb chat with
",0,friend u stay fb chat
"Fuck babe, I miss you sooooo much !! I wish you were here to sleep with me ... My bed is so lonely ... I go now, to sleep ... To dream of you, my love ...
",0,fuck babe miss sooooo much wish sleep bed lonely go sleep dream love
"Living is very simple.. Loving is also simple.. Laughing is too simple.. Winning is tooo simple.. But, being 'SIMPLE' is very difficult.. Gud nte.:-
",0,living simple loving also simple laughing simple winning tooo simple simple difficult gud nte
"U have a secret admirer who is looking 2 make contact with U-find out who they R*reveal who thinks UR so special-call on 09058094599
",1,u secret admirer looking make contact ufind rreveal think ur specialcall
"Ah, well that confuses things, doesnt it?
",0,ah well confuses thing doesnt
"500 free text msgs. Just text ok to 80488 and we'll credit your account
",1,free text msg text ok well credit account
"Hi Dear Call me its urgnt. I don't know whats your problem. You don't want to work or if you have any other problem at least tell me. Wating for your reply.
",0,hi dear call urgnt dont know whats problem dont want work problem least tell wating reply
"Dear how you. Are you ok?
",0,dear ok
"You have been selected to stay in 1 of 250 top British hotels - FOR NOTHING! Holiday Worth £350! To Claim, Call London 02072069400. Bx 526, SW73SS
",1,selected stay top british hotel nothing holiday worth claim call london bx swss
"Yes princess! I want to make you happy...
",0,yes princess want make happy
"Sounds like you have many talents! would you like to go on a dinner date next week?
",0,sound like many talent would like go dinner date next week
"I am going to film 2day da. At 6pm. Sorry da.
",0,going film day da pm sorry da
"We not watching movie already. Xy wants 2 shop so i'm shopping w her now.
",0,watching movie already xy want shop im shopping w
"Hello my little party animal! I just thought I'd buzz you as you were with your friends ...*grins*... Reminding you were loved and send a naughty adoring kiss
",0,hello little party animal thought id buzz friend grin reminding loved send naughty adoring kiss
"Yesterday its with me only . Now am going home.
",0,yesterday going home
"Eerie Nokia tones 4u, rply TONE TITLE to 8007 eg TONE DRACULA to 8007 Titles: GHOST, ADDAMSFA, MUNSTERS, EXORCIST, TWILIGHT www.getzed.co.uk POBox36504W45WQ 150p
",1,eerie nokia tone u rply tone title eg tone dracula title ghost addamsfa munsters exorcist twilight poboxwwq p
"You have come into my life and brought the sun ..Shiny down on me, warming my heart. Putting a constant smile on my face ... Making me feel loved and cared for
",0,come life brought sun shiny warming heart putting constant smile face making feel loved cared
"No shit, but I wasn't that surprised, so I went and spent the evening with that french guy I met in town here and we fooled around a bit but I didn't let him fuck me
",0,shit wasnt surprised went spent evening french guy met town fooled around bit didnt let fuck
"0A$NETWORKS allow companies to bill for SMS, so they are responsible for their ""suppliers"", just as a shop has to give a guarantee on what they sell. B. G.
",1,anetworks allow company bill sm responsible supplier shop give guarantee sell b g
"Great comedy..cant stop laughing da:)
",0,great comedycant stop laughing da
"FreeMsg:Feelin kinda lnly hope u like 2 keep me company! Jst got a cam moby wanna c my pic?Txt or reply DATE to 82242 Msg150p 2rcv Hlp 08712317606 stop to 82242
",1,freemsgfeelin kinda lnly hope u like keep company jst got cam moby wan na c pictxt reply date msgp rcv hlp stop
"Alright, we're all set here, text the man
",0,alright set text man
"Hi , where are you? We're at  and they're not keen to go out i kind of am but feel i shouldn't so can we go out tomo, don't mind do you?
",0,hi theyre keen go kind feel shouldnt go tomo dont mind
"Sleeping nt feeling well
",0,sleeping nt feeling well
"U WILL SWITCH YOUR FONE ON DAMMIT!!
",0,u switch fone dammit
"India have to take lead:)
",0,india take lead
"I.ll post her out l8r. In class
",0,ill post lr class
"Thts wat Wright Brother did to fly..
",0,thts wat wright brother fly
"Evening * v good if somewhat event laden. Will fill you in, don't you worry  Head * ok but throat * wrecked. See you at six then!
",0,evening v good somewhat event laden fill dont worry head ok throat wrecked see six
"If u laugh really loud.. If u talk spontaneously.. If u dont care what others feel.. U are probably with your dear &amp; best friends.. GOODEVENING Dear..:)
",0,u laugh really loud u talk spontaneously u dont care others feel u probably dear amp best friend goodevening dear
"ITS A LAPTOP TAKE IT WITH YOU.
",0,laptop take
"I dont have any of your file in my bag..i was in work when you called me.i 'll tell you if i find anything in my room.
",0,dont file bagi work called mei tell find anything room
"I wan but too early lei... Me outside now wun b home so early... Neva mind then...
",0,wan early lei outside wun b home early neva mind
"For ur chance to win a £250 cash every wk TXT: ACTION to 80608. T's&C's www.movietrivia.tv custcare 08712405022, 1x150p/wk
",1,ur chance win cash every wk txt action tscs custcare xpwk
"I was at bugis juz now wat... But now i'm walking home oredi... Ü so late then reply... I oso saw a top dat i like but din buy... Where r ü now? 
",0,bugis juz wat im walking home oredi late reply oso saw top dat like din buy r
"Wishing you and your family Merry ""X"" mas and HAPPY NEW Year in advance..
",0,wishing family merry x ma happy new year advance
"At 7 we will go ok na.
",0,go ok na
"Yes I posted a couple of pics on fb. There's still snow outside too. I'm just waking up :)
",0,yes posted couple pic fb there still snow outside im waking
"S:-)if we have one good partnership going we will take lead:)
",0,sif one good partnership going take lead
"RGENT! This is the 2nd attempt to contact U!U have WON £1250 CALL 09071512433 b4 050703 T&CsBCM4235WC1N3XX. callcost 150ppm mobilesvary. max£7. 50
",1,rgent nd attempt contact uu call b tcsbcmwcnxx callcost ppm mobilesvary max
"Yeah, where's your class at?
",0,yeah wheres class
"No just send to you. Bec you in temple na.
",0,send bec temple na
"You aren't coming home between class, right? I need to work out and shower!
",0,arent coming home class right need work shower
"Hi if ur lookin 4 saucy daytime fun wiv busty married woman Am free all next week Chat now 2 sort time 09099726429 JANINExx Calls£1/minMobsmoreLKPOBOX177HP51FL
",1,hi ur lookin saucy daytime fun wiv busty married woman free next week chat sort time janinexx callsminmobsmorelkpoboxhpfl
"S but mostly not like that.
",0,mostly like
"Ü v ma fan...
",0,v fan
"Dunno cos i was v late n when i reach they inside already... But we ate spageddies lor... It's e gals who r laughing at me lor...
",0,dunno co v late n reach inside already ate spageddies lor e gal r laughing lor
"Guess who spent all last night phasing in and out of the fourth dimension
",0,guess spent last night phasing fourth dimension
"So now my dad is gonna call after he gets out of work and ask all these crazy questions.
",0,dad gon na call get work ask crazy question
"Yes..but they said its IT.,
",0,yesbut said
"Very hurting n meaningful lines ever: ""I compromised everything for my love, But at d end my love compromised me for everything:-("".. Gud mornin:-)
",0,hurting n meaningful line ever compromised everything love end love compromised everything gud mornin
"Lmao!nice 1
",0,lmaonice
"Glad to see your reply.
",0,glad see reply
"URGENT! We are trying to contact U. Todays draw shows that you have won a £800 prize GUARANTEED. Call 09050001295 from land line. Claim A21. Valid 12hrs only
",1,urgent trying contact u today draw show prize guaranteed call land line claim valid hr
"Monthly password for wap. mobsi.com is 391784. Use your wap phone not PC.
",1,monthly password wap mobsicom use wap phone pc
"Nah dub but je still buff
",0,nah dub je still buff
"Painful words- ""I thought being Happy was the most toughest thing on Earth... But, the toughest is acting Happy with all unspoken pain inside..""
",0,painful word thought happy toughest thing earth toughest acting happy unspoken pain inside
"Yeah, that's fine! It's £6 to get in, is that ok? 
",0,yeah thats fine get ok
"Lol where do u come up with these ideas?
",0,lol u come idea
"So many people seems to be special at first sight, But only very few will remain special to you till your last sight.. Maintain them till life ends.. Sh!jas
",0,many people seems special first sight remain special till last sight maintain till life end shjas
"Today is ""song dedicated day.."" Which song will u dedicate for me? Send this to all ur valuable frnds but first rply me...
",0,today song dedicated day song u dedicate send ur valuable frnds first rply
"Okay... We wait ah
",0,okay wait ah
"Y lei?
",0,lei
"HI BABE U R MOST LIKELY TO BE IN BED BUT IM SO SORRY ABOUT TONIGHT! I REALLY WANNA SEE U TOMORROW SO CALL ME AT 9. LOVE ME XXX
",0,hi babe u r likely bed im sorry tonight really wan na see u tomorrow call love xxx
"Already am squatting is the new way of walking
",0,already squatting new way walking
"Do you want bold 2 or bb torch
",0,want bold bb torch
"Cramps stopped. Going back to sleep
",0,cramp stopped going back sleep
"todays vodafone numbers ending with 0089(my last four digits) are selected to received a £350 award. If your number matches please call 09063442151 to claim your £350 award
",1,today vodafone number ending last four digit selected received award number match please call claim award
"Free Top ringtone -sub to weekly ringtone-get 1st week free-send SUBPOLY to 81618-?3 per week-stop sms-08718727870
",1,free top ringtone sub weekly ringtoneget st week freesend subpoly per weekstop sm
"Nan sonathaya soladha. Why boss?
",0,nan sonathaya soladha bos
"Bring tat cd don forget
",0,bring tat cd forget
"Sunshine Quiz Wkly Q! Win a top Sony DVD player if u know which country the Algarve is in? Txt ansr to 82277. £1.50 SP:Tyrone
",1,sunshine quiz wkly q win top sony dvd player u know country algarve txt ansr sptyrone
"I don't know but I'm raping dudes at poker
",0,dont know im raping dude poker
"Weightloss! No more girl friends. Make loads of money on ebay or something. And give thanks to God.
",0,weightloss girl friend make load money ebay something give thanks god
"Was gr8 to see that message. So when r u leaving? Congrats dear. What school and wat r ur plans.
",0,gr see message r u leaving congrats dear school wat r ur plan
"Ü eatin later but i'm eatin wif my frens now lei... Ü going home first? 
",0,eatin later im eatin wif frens lei going home first
"Finish already... Yar they keep saying i mushy... I so embarrassed ok...
",0,finish already yar keep saying mushy embarrassed ok
"Sorry man, my stash ran dry last night and I can't pick up more until sunday
",0,sorry man stash ran dry last night cant pick sunday
"Hai priya are you right. What doctor said pa. Where are you.
",0,hai priya right doctor said pa
"Free msg. Sorry, a service you ordered from 81303 could not be delivered as you do not have sufficient credit. Please top up to receive the service.
",1,free msg sorry service ordered could delivered sufficient credit please top receive service
"Ok...
",0,ok
"Please ask mummy to call father
",0,please ask mummy call father
"Can come my room but cannot come my house cos my house still messy... Haha...
",0,come room come house co house still messy haha
"I have lost 1Not Scam kilos as of today!
",0,lost scam kilo today
"Just taste fish curry :-P
",0,taste fish curry p
"What can i do? Might accidant tookplace between somewhere ghodbandar rd. Traffic moves slovely. So plz slip &amp; don't worry.
",0,might accidant tookplace somewhere ghodbandar rd traffic move slovely plz slip amp dont worry
"Yun ah.now ü wkg where?btw if ü go nus sc. Ü wana specialise in wad?
",0,yun ahnow wkg wherebtw go nu sc wana specialise wad
"Yes! I am a one woman man! Please tell me your likes and dislikes in bed...
",0,yes one woman man please tell like dislike bed
"Was doing my test earlier. I appreciate you. Will call you tomorrow.
",0,test earlier appreciate call tomorrow
"How's my loverboy doing ? What does he do that keeps him from coming to his Queen, hmmm ? Doesn't he ache to speak to me ? Miss me desparately ?
",0,hows loverboy keep coming queen hmmm doesnt ache speak miss desparately
"U meet other fren dun wan meet me ah... Muz b a guy rite...
",0,u meet fren dun wan meet ah muz b guy rite
"(No promises on when though, haven't even gotten dinner yet)
",0,promise though havent even gotten dinner yet
"I got your back! Do you have any dislikes in bed?
",0,got back dislike bed
"o turns out i had stereo love on mi phone under the unknown album.
",0,turn stereo love mi phone unknown album
"Hard LIVE 121 chat just 60p/min. Choose your girl and connect LIVE. Call 09094646899 now! Cheap Chat UK's biggest live service. VU BCM1896WC1N3XX
",1,hard live chat pmin choose girl connect live call cheap chat uk biggest live service vu bcmwcnxx
"Yeah I don't see why not
",0,yeah dont see
"Asking do u knw them or nt? May be ur frnds or classmates?
",0,asking u knw nt may ur frnds classmate
"Sorry about earlier. Putting out fires.Are you around to talk after 9? Or do you actually have a life, lol!
",0,sorry earlier putting firesare around talk actually life lol
"WOW! The Boys R Back. TAKE THAT 2007 UK Tour. Win VIP Tickets & pre-book with VIP Club. Txt CLUB to 81303. Trackmarque Ltd info@vipclub4u.
",1,wow boy r back take uk tour win vip ticket prebook vip club txt club trackmarque ltd infovipclubu
"As in missionary hook up, doggy hook up, standing...|
",0,missionary hook doggy hook standing
"Then u better go sleep.. Dun disturb u liao.. U wake up then msg me lor..
",0,u better go sleep dun disturb u liao u wake msg lor
"Fighting with the world is easy, u either win or lose bt fightng with some1 who is close to u is dificult if u lose - u lose if u win - u still lose.
",0,fighting world easy u either win lose bt fightng close u dificult u lose u lose u win u still lose
"Am watching house  very entertaining  am getting the whole hugh laurie thing  even with the stick  indeed especially with the stick.
",0,watching house entertaining getting whole hugh laurie thing even stick indeed especially stick
"Thought praps you meant another one. Goodo! I'll look tomorrow 
",0,thought praps meant another one goodo ill look tomorrow
"Hi Jon, Pete here, Ive bin 2 Spain recently & hav sum dinero left, Bill said u or ur ?rents mayb interested in it, I hav 12,Not ScamNot ScamNot Scampes, so around £48, tb, James.
",0,hi jon pete ive bin spain recently hav sum dinero left bill said u ur rent mayb interested hav scamnot scamnot scampes around tb james
"There bold 2  &lt;#&gt; . Is that yours
",0,bold ltgt
"You know there is. I shall speak to you in  &lt;#&gt;  minutes then
",0,know shall speak ltgt minute
"""ALRITE HUNNY!WOT U UP 2 2NITE? DIDNT END UP GOIN DOWN TOWN JUS DA PUB INSTEAD! JUS CHILLIN AT DA MO IN ME BEDROOM!LOVE JEN XXX.""
",0,alrite hunnywot u nite didnt end goin town jus da pub instead jus chillin da mo bedroomlove jen xxx
"I went to project centre
",0,went project centre
"As per your request 'Maangalyam (Alaipayuthe)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune
",0,per request maangalyam alaipayuthe set callertune caller press copy friend callertune
"Lol yeah at this point I guess not
",0,lol yeah point guess
"Doing project w frens lor. 
",0,project w frens lor
"Lol. Well quality aint bad at all so i aint complaining
",0,lol well quality aint bad aint complaining
"K, can that happen tonight?
",0,k happen tonight
"Hi, this is Mandy Sullivan calling from HOTMIX FM...you are chosen to receive £5000.00 in our Easter Prize draw.....Please telephone 09041940223 to claim before 29/03/05 or your prize will be transferred to someone else....
",1,hi mandy sullivan calling hotmix fmyou chosen receive easter prize drawplease telephone claim prize transferred someone else
"I think we're going to finn's now, come
",0,think going finn come
"Why tired what special there you had
",0,tired special
"I will come tomorrow di
",0,come tomorrow di
"I cant pick the phone right now. Pls send a message
",0,cant pick phone right pls send message
"K go and sleep well. Take rest:-).
",0,k go sleep well take rest
"U guys never invite me anywhere :(
",0,u guy never invite anywhere
"UR GOING 2 BAHAMAS! CallFREEFONE 08081560665 and speak to a live operator to claim either Bahamas cruise of£2000 CASH 18+only. To opt out txt X to 07786200117
",1,ur going bahamas callfreefone speak live operator claim either bahamas cruise cash opt txt x
"I can do that! I want to please you both inside and outside the bedroom...
",0,want please inside outside bedroom
"""EY! CALM DOWNON THEACUSATIONS.. ITXT U COS IWANA KNOW WOTU R DOIN AT THEW/END... HAVENTCN U IN AGES..RING ME IF UR UP4 NETHING SAT.LOVE J XXX.""
",0,ey calm downon theacusations itxt u co iwana know wotu r doin thewend haventcn u agesring ur nething satlove j xxx
"I love to wine and dine my lady!
",0,love wine dine lady
"Someone has conacted our dating service and entered your phone because they fancy you!To find out who it is call from landline 09111030116. PoBox12n146tf15
",1,someone conacted dating service entered phone fancy youto find call landline poboxntf
"I?m cool ta luv but v.tired 2 cause i have been doin loads of planning all wk, we have got our social services inspection at the nursery! Take care & spk sn x.
",0,im cool ta luv vtired cause doin load planning wk got social service inspection nursery take care spk sn x
"I don know account details..i will ask my mom and send you.my mom is out of reach now.
",0,know account detailsi ask mom send youmy mom reach
"I think u have the wrong number.
",0,think u wrong number
"Feel Yourself That You Are Always Happy.. Slowly It Becomes Your Habit &amp; Finally It Becomes Part Of Your Life.. Follow It.. Happy Morning &amp; Have A Happy Day:)
",0,feel always happy slowly becomes habit amp finally becomes part life follow happy morning amp happy day
"DO NOT B LATE LOVE MUM
",0,b late love mum
"Got it..mail panren paru..
",0,got itmail panren paru
"* Was thinking about chuckin ur red green n black trainners 2 save carryin them bac on train
",0,thinking chuckin ur red green n black trainners save carryin bac train
"Give one miss from that number please
",0,give one miss number please
"Jus came back fr lunch wif my sis only. U leh?
",0,jus came back fr lunch wif si u leh
"How is your schedule next week? I am out of town this weekend.
",0,schedule next week town weekend
"Really good:)dhanush rocks once again:)
",0,really gooddhanush rock
"Lmao ok I wont be needing u to do my hair anymore.
",0,lmao ok wont needing u hair anymore
"Miss ya, need ya, want ya, love ya.
",0,miss ya need ya want ya love ya
"Sorry i'm not free...
",0,sorry im free
"Do u ever get a song stuck in your head for no reason and it won't go away til u listen to it like 5 times?
",0,u ever get song stuck head reason wont go away til u listen like time
"Nt yet chikku..simple habba..hw abt u?
",0,nt yet chikkusimple habbahw abt u
"Got ur mail Dileep.thank you so muchand look forward to lots of support...very less contacts here,remember one venugopal you mentioned.tomorrow if not late,i shall try to come up till there.goodnight dear.
",0,got ur mail dileepthank muchand look forward lot supportvery less contact hereremember one venugopal mentionedtomorrow latei shall try come till theregoodnight dear
"Sometimes Heart Remembrs someone Very much... Forgets someone soon... Bcoz Heart will not like everyone. But liked ones will be Remembered Everytime... BSLVYL
",0,sometimes heart remembrs someone much forgets someone soon bcoz heart like everyone liked one remembered everytime bslvyl
"Joy's father is John. Then John is the NAME of Joy's father. Mandan
",0,joy father john john name joy father mandan
"Hi 07734396839 IBH Customer Loyalty Offer: The NEW NOKIA6600 Mobile from ONLY £10 at TXTAUCTION!Txt word:START to No:81151 & get Yours Now!4T&
",1,hi ibh customer loyalty offer new nokia mobile txtauctiontxt wordstart get nowt
"Hi this is yijue... It's regarding the 323Not Scam textbook it's intro to algorithms second edition... I'm selling it for $5Not Scam...
",0,hi yijue regarding scam textbook intro algorithm second edition im selling scam
"SMS AUCTION You have won a Nokia 7250i. This is what you get when you win our FREE auction. To take part send Nokia to 86021 now. HG/Suite342/2Lands Row/W1JHL 16+
",1,sm auction nokia get win free auction take part send nokia hgsuitelands rowwjhl
"K, want us to come by now?
",0,k want u come
"How. Its a little difficult but its a simple way to enter this place
",0,little difficult simple way enter place
"Ha... Both of us doing e same thing. But i got tv 2 watch. U can thk of where 2 go tonight or u already haf smth in mind...
",0,ha u e thing got tv watch u thk go tonight u already haf smth mind
"Dont show yourself. How far. Put new pictures up on facebook.
",0,dont show far put new picture facebook
"Watching tv now. I got new job :)
",0,watching tv got new job
"Good afternoon sexy buns! How goes the job search ? I wake and you are my first thought as always, my love. I wish your fine and happy and know I adore you!
",0,good afternoon sexy bun go job search wake first thought always love wish fine happy know adore
"I'm not coming over, do whatever you want
",0,im coming whatever want
"Its ok chikku, and its my 1 of favourite song..:-)
",0,ok chikku favourite song
"Did u see what I posted on your Facebook?
",0,u see posted facebook
"Call FREEPHONE 0800 542 0578 now!
",1,call freephone
"Buy Space Invaders 4 a chance 2 win orig Arcade Game console. Press 0 for Games Arcade (std WAP charge) See o2.co.uk/games 4 Terms + settings. No purchase
",1,buy space invader chance win orig arcade game console press game arcade std wap charge see ocoukgames term setting purchase
"7 wonders in My WORLD 7th You 6th Ur style 5th Ur smile 4th Ur Personality 3rd Ur Nature 2nd Ur SMS and 1st ""Ur Lovely Friendship""... good morning dear
",0,wonder world th th ur style th ur smile th ur personality rd ur nature nd ur sm st ur lovely friendship good morning dear
"Loan for any purpose £500 - £75,000. Homeowners + Tenants welcome. Have you been previously refused? We can still help. Call Free 0800 1956669 or text back 'help'
",1,loan purpose homeowner tenant welcome previously refused still help call free text back help
"BIG BROTHER ALERT! The computer has selected u for 10k cash or #150 voucher. Call 09064018838. NTT PO Box CRO1327 18+ BT Landline Cost 150ppm mobiles vary
",1,big brother alert computer selected u k cash voucher call ntt po box cro bt landline cost ppm mobile vary
";-( oh well, c u later
",0,oh well c u later
"My uncles in Atlanta. Wish you guys a great semester.
",0,uncle atlanta wish guy great semester
"No dear i do have free messages without any recharge. Hi hi hi
",0,dear free message without recharge hi hi hi
"Dont search love, let love find U. Thats why its called falling in love, bcoz U dont force yourself, U just fall and U know there is smeone to hold U... BSLVYL
",0,dont search love let love find u thats called falling love bcoz u dont force u fall u know smeone hold u bslvyl
"I dun believe u. I thk u told him.
",0,dun believe u thk u told
"Do you know why god created gap between your fingers..? So that, One who is made for you comes &amp; fills those gaps by holding your hand with LOVE..!
",0,know god created gap finger one made come amp fill gap holding hand love
"Yes:)sura in sun tv.:)lol.
",0,yessura sun tvlol
"Arun can u transfr me d amt
",0,arun u transfr amt
"Takin a shower now but yeah I'll leave when I'm done
",0,takin shower yeah ill leave im done
"Am not working but am up to eyes in philosophy so will text u later when a bit more free for chat...
",0,working eye philosophy text u later bit free chat
"U haven?t lost me ill always b here 4u.i didn?t intend 2 hurt u but I never knew how u felt about me when Iwas+marine&that?s what itried2tell urmom.i careabout u
",0,u havent lost ill always b ui didnt intend hurt u never knew u felt iwasmarinethats itriedtell urmomi careabout u
"WIN: We have a winner! Mr. T. Foley won an iPod! More exciting prizes soon, so keep an eye on ur mobile or visit www.win-82050.co.uk
",1,win winner mr foley ipod exciting prize soon keep eye ur mobile visit
"You bad girl. I can still remember them
",0,bad girl still remember
"How much i gave to you. Morning.
",0,much gave morning
"I hope your alright babe? I worry that you might have felt a bit desparate when you learned the job was a fake ? I am here waiting when you come back, my love
",0,hope alright babe worry might felt bit desparate learned job fake waiting come back love
"Hey, can you tell me blake's address? Carlos wanted me to meet him there but I got lost and he's not answering his phone
",0,hey tell blake address carlos wanted meet got lost he answering phone
"Can i get your opinion on something first?
",0,get opinion something first
"That one week leave i put know that time. Why.
",0,one week leave put know time
"If we hit it off, you can move in with me :)
",0,hit move
"excellent. I spent  &lt;#&gt;  years in the Air Force. Iraq and afghanistan. I am stable and honest. do you like traveling?
",0,excellent spent ltgt year air force iraq afghanistan stable honest like traveling
"I wanna watch that movie
",0,wan na watch movie
"Ok lor thanx... Ü in school?
",0,ok lor thanx school
"I'm in class. Did you get my text.
",0,im class get text
"The bus leaves at  &lt;#&gt; 
",0,bus leaf ltgt
"God bless.get good sleep my dear...i will pray!
",0,god blessget good sleep deari pray
"Todays Voda numbers ending 1225 are selected to receive a £50award. If you have a match please call 08712300220 quoting claim code 3100 standard rates app 
",1,today voda number ending selected receive award match please call quoting claim code standard rate app
"Do have a nice day today. I love you so dearly.
",0,nice day today love dearly
"Aiyo a bit pai seh ü noe... Scared he dun rem who i am then die... Hee... But he become better lookin oredi leh...
",0,aiyo bit pai seh noe scared dun rem die hee become better lookin oredi leh
"Aight, I'll ask a few of my roommates
",0,aight ill ask roommate
"Now, whats your house # again ? And do you have any beer there ?
",0,whats house beer
"Do ü all wan 2 meet up n combine all the parts? How's da rest of da project going?
",0,wan meet n combine part hows da rest da project going
"""Getting tickets 4 walsall tue 6 th march. My mate is getting me them on sat. ill pay my treat. Want 2 go. Txt bak .Terry""
",0,getting ticket walsall tue th march mate getting sat ill pay treat want go txt bak terry
"Yes we are chatting too.
",0,yes chatting
"HI ITS JESS I DONT KNOW IF YOU ARE AT WORK BUT CALL ME WHEN U CAN IM AT HOME ALL EVE. XXX
",0,hi jess dont know work call u im home eve xxx
"Sian... Aft meeting supervisor got work 2 do liao... U working now?
",0,sian aft meeting supervisor got work liao u working
"Are you going to write ccna exam this week??
",0,going write ccna exam week
"Well i will watch shrek in 3D!!B)
",0,well watch shrek db
"Am i that much dirty fellow?
",0,much dirty fellow
"Dunno dat's wat he told me. Ok lor...
",0,dunno dat wat told ok lor
"I'll probably be by tomorrow (or even later tonight if something's going on)
",0,ill probably tomorrow even later tonight somethings going
"I couldn't say no as he is a dying man and I feel sad for him so I will go and I just wanted you to know I would probably be gone late into your night
",0,couldnt say dying man feel sad go wanted know would probably gone late night
"If you're thinking of lifting me one then no.
",0,youre thinking lifting one
"Same as u... Dun wan... Y u dun like me already ah... Wat u doing now? Still eating?
",0,u dun wan u dun like already ah wat u still eating
"Sent me ur email id soon
",0,sent ur email id soon
"Wat makes some people dearer is not just de happiness dat u feel when u meet them but de pain u feel when u miss dem!!!
",0,wat make people dearer de happiness dat u feel u meet de pain u feel u miss dem
"Dude. What's up. How Teresa. Hope you have been okay. When i didnt hear from these people, i called them and they had received the package since dec  &lt;#&gt; . Just thot you'ld like to know. Do have a fantastic year and all the best with your reading. Plus if you can really really Bam first aid for Usmle, then your work is done.
",0,dude whats teresa hope okay didnt hear people called received package since dec ltgt thot yould like know fantastic year best reading plus really really bam first aid usmle work done
"Hey gorgeous man. My work mobile number is. Have a good one babe. Squishy Mwahs.
",0,hey gorgeous man work mobile number good one babe squishy mwahs
"May i call You later Pls
",0,may call later pls
"Hottest pics straight to your phone!! See me getting Wet and Wanting, just for you xx Text PICS to 89555 now! txt costs 150p textoperator g696ga 18 XxX
",1,hottest pic straight phone see getting wet wanting xx text pic txt cost p textoperator gga xxx
"That's the way you should stay oh.
",0,thats way stay oh
"Hello- thanx for taking that call. I got a job! Starts on monday!
",0,hello thanx taking call got job start monday
"What time is ur flight tmr?
",0,time ur flight tmr
"When should I come over?
",0,come
"I have a rather prominent bite mark on my right cheek
",0,rather prominent bite mark right cheek
"* Will be september by then!
",0,september
"Are you wet right now?
",0,wet right
"And how's your husband.
",0,hows husband
